,Salary,Level,Days Into Year,Years at Company,Years of Experience
268,195600.0,1.0,300.0,0.0,0.0
269,240000.0,1.0,300.0,3.0,7.0
270,655000.0,5.0,300.0,0.0,25.0
271,185000.0,1.0,300.0,1.0,1.0
272,390000.0,3.0,300.0,6.0,6.0
273,125000.0,1.0,300.0,0.0,2.0
274,121250.0,1.0,300.0,0.0,0.0
275,305000.0,2.0,300.0,1.0,5.0
276,203500.0,1.0,300.0,1.0,2.0
277,199000.0,2.0,300.0,1.0,4.0
278,242800.0,1.0,300.0,0.0,0.0
279,200000.0,1.0,300.0,0.0,1.0
280,218000.0,2.0,299.0,1.0,1.0
281,85250.0,1.0,299.0,0.0,1.0
282,255000.0,1.0,299.0,3.0,3.0
283,150000.0,1.0,299.0,1.0,1.0
284,274000.0,2.0,299.0,5.0,14.0
285,191750.0,1.0,299.0,0.0,0.0
286,286000.0,2.0,299.0,5.0,6.0
287,434000.0,3.0,299.0,7.0,15.0
288,269650.0,2.0,299.0,1.0,3.0
289,373000.0,3.0,299.0,6.0,8.0
290,190000.0,2.0,299.0,3.0,7.0
291,300000.0,2.0,299.0,5.0,5.0
292,529000.0,4.0,299.0,15.0,17.0
293,265000.0,3.0,299.0,5.0,5.0
294,100000.0,3.0,299.0,0.0,5.0
295,428400.0,4.0,299.0,7.0,10.0
296,271500.0,2.0,298.0,3.0,7.0
297,172000.0,1.0,298.0,1.0,1.0
298,266000.0,2.0,298.0,2.0,5.0
299,170000.0,1.0,298.0,1.0,4.0
300,280872.0,3.0,298.0,2.0,14.0
301,239500.0,2.0,298.0,0.0,0.0
302,200000.0,2.0,298.0,4.0,7.0
303,208753.0,2.0,298.0,1.0,4.0
304,150000.0,1.0,298.0,0.0,4.0
305,270000.0,2.0,298.0,0.0,5.0
306,245000.0,1.0,297.0,2.0,2.0
307,238250.0,2.0,297.0,1.0,3.0
308,386000.0,3.0,297.0,6.0,12.0
309,192050.0,1.0,297.0,0.0,0.0
310,192050.0,1.0,297.0,0.0,0.0
311,211500.0,1.0,297.0,2.0,2.0
312,120000.0,1.0,297.0,1.0,8.0
313,130000.0,1.0,297.0,1.0,3.0
314,220000.0,1.0,297.0,3.0,3.0
315,162500.0,1.0,297.0,0.0,5.0
316,340000.0,2.0,297.0,5.0,5.0
317,250000.0,2.0,297.0,4.0,4.0
318,364000.0,2.0,296.0,2.0,16.0
320,170000.0,1.0,296.0,0.0,6.0
321,130000.0,1.0,296.0,2.0,2.0
322,230000.0,1.0,296.0,2.0,3.0
323,160000.0,1.0,296.0,3.0,4.0
324,352108.0,3.0,296.0,8.0,15.0
325,500000.0,4.0,296.0,0.0,11.0
326,213000.0,2.0,296.0,0.0,7.0
327,769000.0,5.0,296.0,10.0,20.0
328,120000.0,1.0,296.0,0.0,5.0
329,390000.0,3.0,296.0,6.0,11.0
330,301389.0,2.0,296.0,4.0,4.0
331,214800.0,1.0,295.0,0.0,4.0
332,284000.0,2.0,295.0,3.0,12.0
333,300000.0,2.0,295.0,2.0,9.0
334,344000.0,3.0,295.0,3.0,20.0
335,140000.0,1.0,295.0,2.0,2.0
336,191750.0,1.0,295.0,0.0,0.0
337,185000.0,1.0,295.0,0.0,0.0
338,219000.0,2.0,295.0,2.0,4.0
339,240000.0,1.0,295.0,0.0,3.0
340,188500.0,1.0,295.0,0.0,0.0
341,449000.0,3.0,295.0,5.0,5.0
342,194550.0,1.0,294.0,0.0,0.0
343,175000.0,1.0,294.0,0.0,4.0
344,255102.0,2.0,294.0,0.0,5.0
345,60862.0,1.0,294.0,2.0,2.0
346,246000.0,2.0,294.0,0.0,2.0
347,392000.0,3.0,294.0,4.0,12.0
348,240000.0,1.0,294.0,1.0,1.0
349,230000.0,1.0,294.0,3.0,7.0
350,385000.0,3.0,294.0,0.0,8.0
351,260000.0,1.0,294.0,3.0,4.0
352,254000.0,2.0,294.0,2.0,10.0
353,380000.0,3.0,293.0,1.0,20.0
354,210000.0,2.0,293.0,6.0,6.0
355,150000.0,1.0,293.0,2.0,2.0
356,220000.0,2.0,293.0,0.0,5.0
357,140000.0,1.0,293.0,0.0,0.0
358,181200.0,1.0,293.0,0.0,1.0
359,169700.0,1.0,293.0,1.0,1.0
360,280000.0,2.0,293.0,0.0,0.0
361,237500.0,1.0,292.0,0.0,6.0
362,350000.0,2.0,292.0,5.0,8.0
363,243300.0,2.0,292.0,0.0,3.0
364,237500.0,3.0,292.0,0.0,4.0
365,195400.0,1.0,292.0,1.0,1.0
366,250000.0,2.0,292.0,2.0,2.0
367,192050.0,1.0,291.0,0.0,1.0
368,190500.0,1.0,291.0,1.0,2.0
369,285000.0,2.0,291.0,2.0,8.0
370,310000.0,2.0,291.0,7.0,7.0
371,218800.0,1.0,291.0,1.0,1.0
372,312222.0,1.0,291.0,2.0,3.0
373,300000.0,1.0,291.0,3.0,7.0
374,475000.0,4.0,291.0,0.0,15.0
375,150000.0,1.0,291.0,0.0,0.0
376,250000.0,2.0,291.0,6.0,7.0
377,107500.0,1.0,290.0,0.0,1.0
378,391000.0,3.0,290.0,6.0,14.0
379,509000.0,4.0,290.0,6.0,7.0
380,300000.0,2.0,290.0,1.0,3.0
381,270000.0,3.0,290.0,1.0,8.0
382,380000.0,3.0,290.0,6.0,11.0
383,226850.0,1.0,290.0,1.0,2.0
384,320000.0,2.0,290.0,7.0,7.0
385,370750.0,2.0,290.0,0.0,7.0
386,360000.0,3.0,289.0,5.0,7.0
387,250000.0,1.0,289.0,0.0,0.0
388,141500.0,1.0,289.0,1.0,2.0
389,140000.0,1.0,289.0,2.0,3.0
390,156401.0,1.0,289.0,6.0,7.0
391,140000.0,1.0,289.0,2.0,2.0
392,400000.0,3.0,289.0,0.0,10.0
393,354000.0,4.0,289.0,6.0,7.0
394,164250.0,1.0,288.0,0.0,0.0
395,281250.0,3.0,288.0,0.0,10.0
396,178000.0,1.0,288.0,1.0,1.0
398,380000.0,3.0,288.0,2.0,14.0
399,160000.0,3.0,288.0,0.0,5.0
400,150000.0,1.0,288.0,0.0,1.0
401,278500.0,2.0,287.0,3.0,3.0
402,336000.0,3.0,287.0,3.0,6.0
403,171000.0,1.0,287.0,0.0,3.0
404,435425.0,4.0,287.0,0.0,19.0
405,379000.0,1.0,287.0,1.0,2.0
406,328000.0,3.0,287.0,6.0,12.0
407,285740.0,2.0,287.0,1.0,4.0
408,380000.0,3.0,287.0,5.0,10.0
409,200000.0,1.0,287.0,2.0,2.0
410,328000.0,3.0,287.0,5.0,7.0
411,364400.0,3.0,287.0,0.0,14.0
412,200000.0,1.0,286.0,0.0,3.0
413,252500.0,2.0,286.0,5.0,8.0
414,202000.0,3.0,286.0,0.0,5.0
415,191750.0,1.0,286.0,0.0,0.0
416,340000.0,3.0,286.0,3.0,8.0
417,590000.0,3.0,286.0,3.0,7.0
418,191100.0,1.0,286.0,0.0,0.0
419,305250.0,1.0,286.0,0.0,2.0
420,236850.0,2.0,286.0,0.0,4.0
421,301250.0,2.0,286.0,1.0,2.0
422,270000.0,2.0,286.0,3.0,10.0
423,525000.0,4.0,286.0,0.0,10.0
424,430000.0,3.0,286.0,1.0,10.0
426,179000.0,1.0,286.0,1.0,3.0
427,548000.0,3.0,286.0,3.0,7.0
428,180000.0,1.0,286.0,0.0,0.0
429,598000.0,4.0,286.0,10.0,20.0
430,175000.0,1.0,286.0,1.0,5.0
431,292000.0,2.0,285.0,4.0,9.0
432,340000.0,3.0,285.0,1.0,12.0
433,373000.0,5.0,285.0,3.0,15.0
434,270000.0,2.0,285.0,0.0,4.0
435,280000.0,2.0,285.0,4.0,7.0
436,290000.0,2.0,285.0,2.0,8.0
437,197500.0,2.0,285.0,0.0,4.0
438,290000.0,2.0,285.0,3.0,7.0
439,360000.0,3.0,285.0,4.0,10.0
440,267000.0,2.0,285.0,3.0,5.0
441,232500.0,1.0,285.0,1.0,3.0
442,185000.0,1.0,285.0,2.0,2.0
443,250000.0,1.0,285.0,5.0,10.0
444,275092.0,1.0,285.0,0.0,0.0
445,232932.0,2.0,285.0,1.0,7.0
446,652000.0,4.0,285.0,3.0,24.0
447,215000.0,2.0,285.0,3.0,7.0
448,250000.0,1.0,284.0,0.0,2.0
449,359000.0,3.0,284.0,3.0,3.0
450,170000.0,1.0,284.0,0.0,3.0
451,312955.0,1.0,284.0,0.0,4.0
452,319000.0,2.0,284.0,3.0,5.0
453,231559.0,1.0,284.0,3.0,3.0
454,396000.0,3.0,284.0,2.0,8.0
455,220000.0,1.0,284.0,5.0,5.0
